evidence_id	value	unit	evidence_class	source_path	source_locator	derivation	claim_limit
regulatory.patient_balanced.common_run_count	52	metric	model receipt	data/processed/corneto/regulatory_multisample/patient_balanced52/pooled_vs_patient_balanced.json	/common_run_count; sha256=1831a86633bd0a8f2d00cbdd2eeda1ae33bd6b617ede47b898ca66f17367099e	direct JSON field	One patient-weighting sensitivity only; no phenotype or causal interpretation.
regulatory.patient_balanced.pooled_edge_union	138	metric	model receipt	data/processed/corneto/regulatory_multisample/patient_balanced52/pooled_vs_patient_balanced.json	/pooled_edge_union; sha256=1831a86633bd0a8f2d00cbdd2eeda1ae33bd6b617ede47b898ca66f17367099e	direct JSON field	One patient-weighting sensitivity only; no phenotype or causal interpretation.
regulatory.patient_balanced.patient_balanced_edge_union	136	metric	model receipt	data/processed/corneto/regulatory_multisample/patient_balanced52/pooled_vs_patient_balanced.json	/patient_balanced_edge_union; sha256=1831a86633bd0a8f2d00cbdd2eeda1ae33bd6b617ede47b898ca66f17367099e	direct JSON field	One patient-weighting sensitivity only; no phenotype or causal interpretation.
regulatory.patient_balanced.union_jaccard	0.8896551724137931	metric	model receipt	data/processed/corneto/regulatory_multisample/patient_balanced52/pooled_vs_patient_balanced.json	/union_jaccard; sha256=1831a86633bd0a8f2d00cbdd2eeda1ae33bd6b617ede47b898ca66f17367099e	direct JSON field	One patient-weighting sensitivity only; no phenotype or causal interpretation.
regulatory.patient_balanced.mean_sample_jaccard	0.898992673992674	metric	model receipt	data/processed/corneto/regulatory_multisample/patient_balanced52/pooled_vs_patient_balanced.json	/mean_sample_jaccard; sha256=1831a86633bd0a8f2d00cbdd2eeda1ae33bd6b617ede47b898ca66f17367099e	direct JSON field	One patient-weighting sensitivity only; no phenotype or causal interpretation.
regulatory.richer.pooled.sample_count	60	metric	model receipt	data/processed/corneto/regulatory_multisample/richer_v1/narrow_vs_richer_l0p001.json	/groups/pooled/sample_count; sha256=1965d1c4424a1bc7fa7c2cd8c0d701a2a5dde6963e6a846847d5f66774c8e88e	direct JSON field	Bundled graph-policy sensitivity; the changed inputs, outputs and depth prevent attribution to PKN breadth alone.
regulatory.richer.pooled.union_jaccard	0.20224719101123595	metric	model receipt	data/processed/corneto/regulatory_multisample/richer_v1/narrow_vs_richer_l0p001.json	/groups/pooled/union_jaccard; sha256=1965d1c4424a1bc7fa7c2cd8c0d701a2a5dde6963e6a846847d5f66774c8e88e	direct JSON field	Bundled graph-policy sensitivity; the changed inputs, outputs and depth prevent attribution to PKN breadth alone.
regulatory.richer.pooled.mean_sample_jaccard	0.1084582519310107	metric	model receipt	data/processed/corneto/regulatory_multisample/richer_v1/narrow_vs_richer_l0p001.json	/groups/pooled/mean_sample_jaccard; sha256=1965d1c4424a1bc7fa7c2cd8c0d701a2a5dde6963e6a846847d5f66774c8e88e	direct JSON field	Bundled graph-policy sensitivity; the changed inputs, outputs and depth prevent attribution to PKN breadth alone.
regulatory.richer.E-MTAB-7223.sample_count	9	metric	model receipt	data/processed/corneto/regulatory_multisample/richer_v1/narrow_vs_richer_l0p001.json	/groups/E-MTAB-7223/sample_count; sha256=1965d1c4424a1bc7fa7c2cd8c0d701a2a5dde6963e6a846847d5f66774c8e88e	direct JSON field	Bundled graph-policy sensitivity; the changed inputs, outputs and depth prevent attribution to PKN breadth alone.
regulatory.richer.E-MTAB-7223.union_jaccard	0.1076923076923077	metric	model receipt	data/processed/corneto/regulatory_multisample/richer_v1/narrow_vs_richer_l0p001.json	/groups/E-MTAB-7223/union_jaccard; sha256=1965d1c4424a1bc7fa7c2cd8c0d701a2a5dde6963e6a846847d5f66774c8e88e	direct JSON field	Bundled graph-policy sensitivity; the changed inputs, outputs and depth prevent attribution to PKN breadth alone.
regulatory.richer.E-MTAB-7223.mean_sample_jaccard	0.06481481481481481	metric	model receipt	data/processed/corneto/regulatory_multisample/richer_v1/narrow_vs_richer_l0p001.json	/groups/E-MTAB-7223/mean_sample_jaccard; sha256=1965d1c4424a1bc7fa7c2cd8c0d701a2a5dde6963e6a846847d5f66774c8e88e	direct JSON field	Bundled graph-policy sensitivity; the changed inputs, outputs and depth prevent attribution to PKN breadth alone.
regulatory.richer.E-MTAB-10801.sample_count	13	metric	model receipt	data/processed/corneto/regulatory_multisample/richer_v1/narrow_vs_richer_l0p001.json	/groups/E-MTAB-10801/sample_count; sha256=1965d1c4424a1bc7fa7c2cd8c0d701a2a5dde6963e6a846847d5f66774c8e88e	direct JSON field	Bundled graph-policy sensitivity; the changed inputs, outputs and depth prevent attribution to PKN breadth alone.
regulatory.richer.E-MTAB-10801.union_jaccard	0.11764705882352941	metric	model receipt	data/processed/corneto/regulatory_multisample/richer_v1/narrow_vs_richer_l0p001.json	/groups/E-MTAB-10801/union_jaccard; sha256=1965d1c4424a1bc7fa7c2cd8c0d701a2a5dde6963e6a846847d5f66774c8e88e	direct JSON field	Bundled graph-policy sensitivity; the changed inputs, outputs and depth prevent attribution to PKN breadth alone.
regulatory.richer.E-MTAB-10801.mean_sample_jaccard	0.11423685720360913	metric	model receipt	data/processed/corneto/regulatory_multisample/richer_v1/narrow_vs_richer_l0p001.json	/groups/E-MTAB-10801/mean_sample_jaccard; sha256=1965d1c4424a1bc7fa7c2cd8c0d701a2a5dde6963e6a846847d5f66774c8e88e	direct JSON field	Bundled graph-policy sensitivity; the changed inputs, outputs and depth prevent attribution to PKN breadth alone.
regulatory.richer.E-MTAB-11000.sample_count	11	metric	model receipt	data/processed/corneto/regulatory_multisample/richer_v1/narrow_vs_richer_l0p001.json	/groups/E-MTAB-11000/sample_count; sha256=1965d1c4424a1bc7fa7c2cd8c0d701a2a5dde6963e6a846847d5f66774c8e88e	direct JSON field	Bundled graph-policy sensitivity; the changed inputs, outputs and depth prevent attribution to PKN breadth alone.
regulatory.richer.E-MTAB-11000.union_jaccard	0.13095238095238096	metric	model receipt	data/processed/corneto/regulatory_multisample/richer_v1/narrow_vs_richer_l0p001.json	/groups/E-MTAB-11000/union_jaccard; sha256=1965d1c4424a1bc7fa7c2cd8c0d701a2a5dde6963e6a846847d5f66774c8e88e	direct JSON field	Bundled graph-policy sensitivity; the changed inputs, outputs and depth prevent attribution to PKN breadth alone.
regulatory.richer.E-MTAB-11000.mean_sample_jaccard	0.10031145325262973	metric	model receipt	data/processed/corneto/regulatory_multisample/richer_v1/narrow_vs_richer_l0p001.json	/groups/E-MTAB-11000/mean_sample_jaccard; sha256=1965d1c4424a1bc7fa7c2cd8c0d701a2a5dde6963e6a846847d5f66774c8e88e	direct JSON field	Bundled graph-policy sensitivity; the changed inputs, outputs and depth prevent attribution to PKN breadth alone.
regulatory.richer.E-MTAB-14568.sample_count	27	metric	model receipt	data/processed/corneto/regulatory_multisample/richer_v1/narrow_vs_richer_l0p001.json	/groups/E-MTAB-14568/sample_count; sha256=1965d1c4424a1bc7fa7c2cd8c0d701a2a5dde6963e6a846847d5f66774c8e88e	direct JSON field	Bundled graph-policy sensitivity; the changed inputs, outputs and depth prevent attribution to PKN breadth alone.
regulatory.richer.E-MTAB-14568.union_jaccard	0.14285714285714285	metric	model receipt	data/processed/corneto/regulatory_multisample/richer_v1/narrow_vs_richer_l0p001.json	/groups/E-MTAB-14568/union_jaccard; sha256=1965d1c4424a1bc7fa7c2cd8c0d701a2a5dde6963e6a846847d5f66774c8e88e	direct JSON field	Bundled graph-policy sensitivity; the changed inputs, outputs and depth prevent attribution to PKN breadth alone.
regulatory.richer.E-MTAB-14568.mean_sample_jaccard	0.05849665709056834	metric	model receipt	data/processed/corneto/regulatory_multisample/richer_v1/narrow_vs_richer_l0p001.json	/groups/E-MTAB-14568/mean_sample_jaccard; sha256=1965d1c4424a1bc7fa7c2cd8c0d701a2a5dde6963e6a846847d5f66774c8e88e	direct JSON field	Bundled graph-policy sensitivity; the changed inputs, outputs and depth prevent attribution to PKN breadth alone.
regulatory.alternative_optima.expected_samples	27	metric	model receipt	data/processed/corneto/alternative_optima/E-MTAB-14568/l0p1_final_summary.json	/expected_samples; sha256=e60c7c1615bc7cfe623ae0a1d83cf6a6e870d07fc63c62a817184c1286737ccb	direct JSON field	Near-optimal response-blind edge stability in one study; zero-edge optima are blocked and no drug or causal claim is supported.
regulatory.alternative_optima.usable_nonempty_samples	26	metric	model receipt	data/processed/corneto/alternative_optima/E-MTAB-14568/l0p1_final_summary.json	/usable_nonempty_samples; sha256=e60c7c1615bc7cfe623ae0a1d83cf6a6e870d07fc63c62a817184c1286737ccb	direct JSON field	Near-optimal response-blind edge stability in one study; zero-edge optima are blocked and no drug or causal claim is supported.
regulatory.alternative_optima.median_accepted_alternative_count	30.0	metric	model receipt	data/processed/corneto/alternative_optima/E-MTAB-14568/l0p1_final_summary.json	/median_accepted_alternative_count; sha256=e60c7c1615bc7cfe623ae0a1d83cf6a6e870d07fc63c62a817184c1286737ccb	direct JSON field	Near-optimal response-blind edge stability in one study; zero-edge optima are blocked and no drug or causal claim is supported.
regulatory.alternative_optima.median_core_edge_count	5.0	metric	model receipt	data/processed/corneto/alternative_optima/E-MTAB-14568/l0p1_final_summary.json	/median_core_edge_count; sha256=e60c7c1615bc7cfe623ae0a1d83cf6a6e870d07fc63c62a817184c1286737ccb	direct JSON field	Near-optimal response-blind edge stability in one study; zero-edge optima are blocked and no drug or causal claim is supported.
regulatory.alternative_optima.median_edge_union_count	6.0	metric	model receipt	data/processed/corneto/alternative_optima/E-MTAB-14568/l0p1_final_summary.json	/median_edge_union_count; sha256=e60c7c1615bc7cfe623ae0a1d83cf6a6e870d07fc63c62a817184c1286737ccb	direct JSON field	Near-optimal response-blind edge stability in one study; zero-edge optima are blocked and no drug or causal claim is supported.
regulatory.alternative_optima.median_incumbent_edge_count	5.5	metric	model receipt	data/processed/corneto/alternative_optima/E-MTAB-14568/l0p1_final_summary.json	/median_incumbent_edge_count; sha256=e60c7c1615bc7cfe623ae0a1d83cf6a6e870d07fc63c62a817184c1286737ccb	direct JSON field	Near-optimal response-blind edge stability in one study; zero-edge optima are blocked and no drug or causal claim is supported.
regulatory.alternative_optima.median_mean_pairwise_jaccard	1.0	metric	model receipt	data/processed/corneto/alternative_optima/E-MTAB-14568/l0p1_final_summary.json	/median_mean_pairwise_jaccard; sha256=e60c7c1615bc7cfe623ae0a1d83cf6a6e870d07fc63c62a817184c1286737ccb	direct JSON field	Near-optimal response-blind edge stability in one study; zero-edge optima are blocked and no drug or causal claim is supported.
human_gem.bytes	37906640	bytes	model fingerprint receipt	data/processed/corneto/human_gem_fingerprint.json	/bytes; sha256=d4f36931ac3692c895d3e928dbc622ba440416a63761c8db36f0487e5c01fe7f	direct JSON field	Model identity only; no OCM-specific result
human_gem.reactions	13096	reactions	model fingerprint receipt	data/processed/corneto/human_gem_fingerprint.json	/reactions; sha256=d4f36931ac3692c895d3e928dbc622ba440416a63761c8db36f0487e5c01fe7f	direct JSON field	Model identity only; no OCM-specific result
human_gem.metabolites	8400	metabolites	model fingerprint receipt	data/processed/corneto/human_gem_fingerprint.json	/metabolites; sha256=d4f36931ac3692c895d3e928dbc622ba440416a63761c8db36f0487e5c01fe7f	direct JSON field	Model identity only; no OCM-specific result
human_gem.genes	3628	genes	model fingerprint receipt	data/processed/corneto/human_gem_fingerprint.json	/genes; sha256=d4f36931ac3692c895d3e928dbc622ba440416a63761c8db36f0487e5c01fe7f	direct JSON field	Model identity only; no OCM-specific result
metabolic.pooled_input.sample_count	60	samples	input-gate receipt	data/processed/corneto/pooled_primary_60/metabolic_input_gate.json	/sample_count; sha256=a3518e5dbd180a21a4336327721881e94c858e280891da03f99613790c4a0998	direct JSON field	Input/code gate only; no metabolic solution or phenotype claim.
metabolic.pooled_input.ocm_count	60	OCMs	input-gate receipt	data/processed/corneto/pooled_primary_60/metabolic_input_gate.json	/ocm_count; sha256=a3518e5dbd180a21a4336327721881e94c858e280891da03f99613790c4a0998	direct JSON field	Input/code gate only; no metabolic solution or phenotype claim.
metabolic.pooled_input.patient_count	52	patients	input-gate receipt	data/processed/corneto/pooled_primary_60/metabolic_input_gate.json	/patient_count; sha256=a3518e5dbd180a21a4336327721881e94c858e280891da03f99613790c4a0998	direct JSON field	Input/code gate only; no metabolic solution or phenotype claim.
metabolic.pooled_input.gene_count	60609	genes	input-gate receipt	data/processed/corneto/pooled_primary_60/metabolic_input_gate.json	/gene_count; sha256=a3518e5dbd180a21a4336327721881e94c858e280891da03f99613790c4a0998	direct JSON field	Input/code gate only; no metabolic solution or phenotype claim.
tighe.table_s1.ocms	83	OCMs	frozen supplementary table	data/processed/metadata/tighe_ocm_characteristics.tsv	data rows; hash in manuscript_evidence_snapshot.json	count canonical_ocm_id rows	Wider biobank screen, not the primary RNA set
tighe.table_s1.patients	68	patients	frozen supplementary table	data/processed/metadata/tighe_ocm_characteristics.tsv	patient_id; one per patient after de-duplication	count distinct patient_id	Wider biobank screen, not the primary RNA set
tighe.table_s2.ocms	83	OCMs	frozen supplementary table	data/processed/metadata/tighe_abcb1.tsv	data rows	count rows	ABCB1 covariate table; not an exact AUC/GI50 matrix
meeson.public_output.rows	49	OCM labels	public-output audit receipt	data/processed/meeson/upstream_audit.json	/ocm_flux_output/rows; hash in manuscript_evidence_snapshot.json	direct JSON field	Exact 49-OCM regeneration is blocked by the absent expression-plus-growth input; algorithm and public output auditing remain reproducible.
meeson.public_output.reaction_flux_columns	4139	reaction-flux columns	public-output audit receipt	data/processed/meeson/upstream_audit.json	/ocm_flux_output/reaction_flux_columns; hash in manuscript_evidence_snapshot.json	direct JSON field	Exact 49-OCM regeneration is blocked by the absent expression-plus-growth input; algorithm and public output auditing remain reproducible.
meeson.toy.retained_set_jaccard	0.0	Jaccard	toy model receipt	data/processed/meeson/toy_corneto_global_retention.json	/sequential/retained_set_jaccard	direct JSON field	Toy mechanism test only
meeson.toy.global_growth	6.000001	model growth	toy model receipt	data/processed/meeson/toy_corneto_global_retention.json	/global/primary/growth	direct JSON field	Toy mechanism test only
meeson.toy.global_objective	-1.0	objective	toy model receipt	data/processed/meeson/toy_corneto_global_retention.json	/global/primary/objective_value	direct JSON field	Toy mechanism test only
meeson.toy.independent_active_union_size	4	reactions	toy model receipt	data/processed/meeson/toy_corneto_joint_fba.json	/comparison/independent_active_union_size	direct JSON field	Toy mechanism test only; smaller union is encouraged by the objective
meeson.toy.joint_active_union_size	3	reactions	toy model receipt	data/processed/meeson/toy_corneto_joint_fba.json	/comparison/joint_active_union_size	direct JSON field	Toy mechanism test only; smaller union is encouraged by the objective
